CaseNumber,Location,Reported Date,Month,Year,Offense Desc,Statute Code,Statute Desc,Counts,Reporting Officer
2022-00022682,200 Block WASHINGTON ST,03/27/2022 01:51:00 PM,3,2022,Receiving Stolen Property,11-41-2,RECEIVING STOLEN GOODS-MISDEMEANOR,1,DAnderson
2022-00022682,200 Block WASHINGTON ST,03/27/2022 01:51:00 PM,3,2022,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,DAnderson
2022-00022682,200 Block WASHINGTON ST,03/27/2022 01:51:00 PM,3,2022,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,DAnderson
2022-00033842,CANAL ST &  PARK ROW,05/04/2022 08:14:00 PM,5,2022,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,ELane
2022-00033926,CORINTH ST &  SAVINGS ST,05/05/2022 02:56:00 AM,5,2022,Suspicious Person,Not Used,No Violations,0,JNazario Feliz
2022-00003868,100 Block ORMS ST,01/17/2022 10:09:05 AM,1,2022,Property Damage,Not Used,No Violations,0,TManzotti
2022-00041137,100 Block BROAD ST,05/27/2022 09:30:00 AM,5,2022,Request for Assistance,Not Used,No Violations,0,GSlater
2022-00001347,0 Block VIEW ST,01/06/2022 07:37:00 PM,1,2022,Auto Towed,Not Used,Parking or MV Violation,0,JAntoniou
2022-00500013,200 Block OAKLAND AVE,01/03/2022 04:11:36 PM,1,2022,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,DShields
2022-00501097,100 Block CANAL ST,03/30/2022 07:00:28 PM,3,2022,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,DShields
2022-00038400,CRANSTON ST &  WALDO ST,05/19/2022 02:21:00 AM,5,2022,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,LRagosta
2022-00043752,100 Block GLENBRIDGE AVE,06/04/2022 12:01:00 AM,6,2022,Malicious Mischief,Not Used,No Violations,0,YCaba
2022-00013962,1500 Block CHALKSTONE AVE,02/23/2022 11:33:35 PM,2,2022,Request for Assistance,Not Used,No violations,0,SRomano
2022-00024063,0 Block HAMILTON ST,04/01/2022 02:38:00 PM,4,2022,Request for Assistance,Not Used,No Violations,0,GKue
2022-00031491,400 Block CRANSTON ST,04/26/2022 10:55:00 PM,4,2022,"Larceny, Other",11-41-7,LARCENY FROM THE PERSON - ALL OTH LARCENY,1,BAucoin
2022-00031491,400 Block CRANSTON ST,04/26/2022 10:55:00 PM,4,2022,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,BAucoin
2022-00023703,100 Block DORA ST,03/31/2022 10:05:00 AM,3,2022,"Fraud, Credit Card",11-49-4,FRAUDULENT USE OF CREDIT CARDS,1,CBrown
2022-00012166,200 Block ADMIRAL ST,02/17/2022 10:23:00 AM,2,2022,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,TManzotti
2022-00035480,0 Block OCEAN ST,05/10/2022 05:44:00 AM,5,2022,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,BAucoin
2022-00005530,ELMGROVE AVE &  BLACKSTONE BLVD,01/23/2022 04:32:00 PM,1,2022,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,JBenros
2022-00014383,200 Block ORMS ST,02/25/2022 06:22:00 PM,2,2022,Request for Assistance,Not Used,No Violations,0,MFigueroa
2022-00038138,100 Block ATWELLS AVE,05/18/2022 09:38:00 AM,5,2022,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,JO
2022-00040458,100 Block ATWELLS AVE,05/25/2022 08:43:00 AM,5,2022,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,Central Station
2021-00101616,100 Block TAYLOR ST,12/21/2021 02:21:00 PM,12,2021,Larceny from Building,11-41-1,LARCENY/U $1500 - FROM BLD,1,Central Station
2021-00098851,LEDGE ST &  SILVER SPRING ST,12/11/2021 10:12:00 PM,12,2021,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,NULL
2022-00012410,100 Block OAK ST,02/18/2022 08:40:00 AM,2,2022,Trespass,Not Used,No Violations,0,MRudolph
2022-00034967,100 Block OAK ST,05/08/2022 11:43:00 AM,5,2022,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,CSimanski
2022-00018585,0 Block CARTER ST,03/13/2022 03:49:00 AM,3,2022,Weapons,11-47-8-A,LICENSE OR PERMIT REQUIRED FOR CARRYING PISTOL,1,EEspinal
2022-00013192,700 Block CRANSTON ST,02/20/2022 11:59:00 PM,2,2022,"Larceny, Other",11-41-6,ATTEMPTED LARCENY/U $1500 - ALL OTH LARCENY,1,APereira II
2022-00034970,0 Block PRESTON ST,05/08/2022 11:52:00 AM,5,2022,House Fire,Not Used,No Violations,0,GPereira
2022-00041836,BENEFIT ST &  COLLEGE ST,05/29/2022 05:45:00 AM,5,2022,Auto Towed,Not Used,Parking or MV Violation,0,JNazario Feliz
2022-00014430,0 Block STEERE AVE,02/25/2022 10:12:00 PM,2,2022,Malicious Mischief,Not Used,No Violations,0,RMorel
2022-00006495,100 Block DELAINE ST,01/27/2022 08:42:51 AM,1,2022,Request for Assistance,Not Used,No violations,0,LAndreozzi
2022-00501262,100 Block DELAINE ST,04/14/2022 08:06:12 PM,4,2022,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MTroia
2022-00036513,ELLERY ST &  CHAPIN AVE,05/13/2022 01:09:00 PM,5,2022,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,MCamardo
2022-00500783,0 Block MOUNTAIN ST,03/04/2022 02:33:42 PM,3,2022,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,DShields
2022-00019707,FRANCIS ST &  FINANCE WAY,03/17/2022 04:04:00 PM,3,2022,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,ELane
2022-00036594,BROAD ST &  CENTRAL ST,05/13/2022 05:52:00 PM,5,2022,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,CVingi
2022-00032954,BROAD ST &  CENTRAL ST,05/01/2022 04:49:00 PM,5,2022,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,LFerreras
2021-00098588,BROAD ST &  CENTRAL ST,12/11/2021 01:22:00 AM,12,2021,Traffic Violation,31-11-18.1,"Driving after Denial, Revocation or Suspension for Misd.",1,GGenao
2022-00033555,0 Block COVELL ST,05/03/2022 08:14:00 PM,5,2022,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,SCooney
2022-00500778,400 Block ATWELLS AVE,03/05/2022 08:40:12 AM,3,2022,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,DShields
2022-00500614,400 Block ATWELLS AVE,02/20/2022 05:58:29 PM,2,2022,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,DShields
2022-00011094,400 Block ATWELLS AVE,02/13/2022 01:42:00 AM,2,2022,Larceny - Theft,Not Used,"Under Investigation, Offense Pending",0,ACalle
2022-00021185,0 Block BERLIN ST,03/22/2022 01:01:00 AM,3,2022,Auto Towed,Not Used,Parking or MV Violation,0,RJoseph
2022-00501357,100 Block HIGHLAND AVE,04/28/2022 07:24:14 PM,4,2022,"Fraud, Credit Card",11-49-4,FRAUDULENT USE OF CREDIT CARDS,1,DShields
2021-00098827,100 Block DOUGLAS AVE,12/11/2021 08:37:00 PM,12,2021,"Assault,Simple",Not Used,"Under Investigation, Offense Pending",0,TCalandra
2022-00026392,0 Block PRAIRIE AVE,04/09/2022 05:36:00 PM,4,2022,"Assault, Aggravated",11-5-2,FELONY ASSAULT,1,RBallinger
2022-00039868,PLEASANT VALLEY PKY & W PARK ST,05/23/2022 11:57:00 AM,5,2022,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,KBass
2022-00500619,600 Block SMITH ST,02/19/2022 10:24:30 PM,2,2022,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,DShields
2021-00098600,800 Block ATWELLS AVE,12/11/2021 01:44:00 AM,12,2021,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THE,1,JIkuejamofo
2022-00019944,ACADEMY AVE &  CAMBRIDGE ST,03/18/2022 12:07:00 PM,3,2022,Traffic Violation,31-9-1,Driving Without Consent of Owner,1,ALugo
2022-00019944,ACADEMY AVE &  CAMBRIDGE ST,03/18/2022 12:07:00 PM,3,2022,Traffic Violation,31-11-18.1,"Driving after Denial, Revocation or Suspension for Misd.",1,ALugo
2022-00012920,700 Block ATWELLS AVE,02/19/2022 08:35:00 PM,2,2022,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,SCampbell
2022-00500432,0 Block TAPPAN ST,01/27/2022 09:09:41 PM,1,2022,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,DShields
2022-00501458,200 Block NELSON ST,05/12/2022 11:54:38 AM,5,2022,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,DShields
2022-00028398,CURTIS ST &  BOSWORTH ST,04/16/2022 12:50:00 AM,4,2022,Weapons,11-47-8-A,LICENSE OR PERMIT REQUIRED FOR CARRYING PISTOL,1,SPerez
2022-00028398,CURTIS ST &  BOSWORTH ST,04/16/2022 12:50:00 AM,4,2022,Weapons,11-47-5,POSS OF ARMS BY CONVICT IN CRIME OF VIOL/FUGITIVE,1,SPerez
2022-00028398,CURTIS ST &  BOSWORTH ST,04/16/2022 12:50:00 AM,4,2022,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,SPerez
2022-00022738,0 Block VICTORIA ST,03/27/2022 06:14:00 PM,3,2022,Request for Assistance,Not Used,No Violations,0,IQuinn
2022-00038321,0 Block VICTORIA ST,05/18/2022 08:37:00 PM,5,2022,Request for Assistance,Not Used,No Violations,0,ALima
2022-00025893,BLACKSTONE ST &  GAY ST,04/08/2022 07:40:00 AM,4,2022,Auto Towed,Not Used,Parking or MV Violation,0,RMorel
2022-00001843,0 Block STANDISH AVE,01/08/2022 11:54:00 PM,1,2022,Request for Assistance,Not Used,No Violations,0,DMartinez
2022-00041966,0 Block BODELL AVE,05/29/2022 04:00:00 PM,5,2022,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,LRagosta
2022-00015936,200 Block SARATOGA ST,03/03/2022 01:47:00 PM,3,2022,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2022-00501613,100 Block WILLIAMS ST,06/02/2022 03:03:59 AM,6,2022,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,DShields
2022-00014971,0 Block COLFAX ST,02/27/2022 09:06:00 PM,2,2022,Traffic Violation,31-27-4.1,Eluding a Law Enforcement Officer with a MV in a High Speed Pursuit,1,ALima
2022-00014971,0 Block COLFAX ST,02/27/2022 09:06:00 PM,2,2022,Traffic Violation,31-26-2,Duty to Stop in Accidents Resulting in Damage to Attended Vehicles,1,ALima
2022-00014971,0 Block COLFAX ST,02/27/2022 09:06:00 PM,2,2022,Traffic Violation,31-20-9,Obedience to Stop Sign,1,ALima
2022-00014971,0 Block COLFAX ST,02/27/2022 09:06:00 PM,2,2022,Traffic Violation,31-47-9,Operating a MV without Evidence of Insurance,1,ALima
2022-00014971,0 Block COLFAX ST,02/27/2022 09:06:00 PM,2,2022,Traffic Violation,31-33-2,Failure to File an Accident Report,1,ALima
2022-00014971,0 Block COLFAX ST,02/27/2022 09:06:00 PM,2,2022,Traffic Violation,31-8-2,Operation of MV When Registration Canceled,1,ALima
2022-00014971,0 Block COLFAX ST,02/27/2022 09:06:00 PM,2,2022,Traffic Violation,31-3-18,Display of Plates Penalties,1,ALima
2021-00503594,100 Block BENEFIT ST,12/17/2021 10:35:03 AM,12,2021,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MTroia
2022-00009396,0 Block DEPASQUALE AVE,02/06/2022 10:01:00 PM,2,2022,Request for Assistance,Not Used,No Violations,0,DSepe
2022-00040637,0 Block DEPASQUALE AVE,05/25/2022 05:46:00 PM,5,2022,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,Central Station
2022-00023902,0 Block DEPASQUALE AVE,03/31/2022 11:38:00 PM,3,2022,License Violation,Not Used,No Violations,0,LCastro
2022-00002334,200 Block ATWELLS AVE,01/11/2022 08:12:00 AM,1,2022,Malicious Mischief,Not Used,No Violations,0,HEspanol
2021-00103627,500 Block ELMWOOD AVE,12/29/2021 11:11:00 PM,12,2021,Burglary,11-8-5,B&E OTHER BUILDING W/CRIM INTENT,1,ESoloman
2022-00004155,STILLMAN ST &  PARK ROW,01/18/2022 03:26:00 PM,1,2022,Auto Towed,Not Used,Parking or MV Violation,0,DAnderson
2022-00037176,0 Block BERGEN ST,05/15/2022 01:25:00 AM,5,2022,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,1,RJoseph
2022-00042964,DEXTER ST &  WALDO ST,06/01/2022 01:50:00 PM,6,2022,Shots Fired,Not Used,No Violations,0,LFernandez
2022-00034277,DEXTER ST &  WALDO ST,05/06/2022 01:36:00 AM,5,2022,Dispersals,Not Used,No Violations,0,ACalle
2022-00010385,DEXTER ST &  WALDO ST,02/10/2022 05:54:00 PM,2,2022,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,DCastigliego
2022-00032491,0 Block MAWNEY ST,04/30/2022 08:42:00 AM,4,2022,Robbery,11-39-1,ROBBERY-1ST DEGREE,1,GGenao
2022-00043381,0 Block MAWNEY ST,06/02/2022 08:09:00 PM,6,2022,DUI,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),1,KBarth
2022-00043381,0 Block MAWNEY ST,06/02/2022 08:09:00 PM,6,2022,DUI,31-27-2.1,Chemical Test Refusal,1,KBarth
2022-00021767,0 Block MAWNEY ST,03/24/2022 12:23:00 AM,3,2022,Suspicious Person,Not Used,No Violations,0,LQuinilla
2022-00021055,400 Block ATWELLS AVE,03/21/2022 05:15:00 PM,3,2022,Auto Towed,Not Used,Parking or MV Violation,0,VLopez
2022-00022215,0 Block LISBON ST,03/25/2022 07:53:00 PM,3,2022,Burglary,11-8-1.1,ATTEMPTED BREAKING AND ENTERING,1,RGaudiana
2022-00011208,0 Block AMY ST,02/13/2022 02:50:00 PM,2,2022,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,MFadale
2022-00022878,0 Block POTTERS AVE,03/28/2022 08:56:24 AM,3,2022,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,ADeschamps
2022-00013398,100 Block CAMP ST,02/21/2022 06:45:00 PM,2,2022,Disturbance,Not Used,No Violations,0,JLugo
2022-00041016,ABBOTT ST &  KNOWLES ST,05/26/2022 09:11:00 PM,5,2022,Shots Fired,Not Used,No Violations,0,JSalmeron
2022-00003425,0 Block ABBOTT ST,01/15/2022 03:09:00 PM,1,2022,Request for Assistance,Not Used,No Violations,0,FPerez Brito
2022-00025810,400 Block POTTERS AVE,04/07/2022 07:33:00 PM,4,2022,Auto Towed,Not Used,Parking or MV Violation,0,GKue
2022-00032378,RIVER AVE &  SMITH ST,04/29/2022 09:32:00 PM,4,2022,Auto Towed,Not Used,Parking or MV Violation,0,DForte
2022-00501198,0 Block CARR ST,04/08/2022 11:51:49 PM,4,2022,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,MTroia
2022-00016313,ALTHEA ST &  UNION AVE,03/04/2022 09:26:00 PM,3,2022,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,CCastagliuolo
2022-00025190,0 Block ROSEDALE ST,04/05/2022 03:18:00 PM,4,2022,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,Central Station
2022-00011292,200 Block ADMIRAL ST,02/13/2022 10:11:00 PM,2,2022,Shots Fired,Not Used,No Violations,0,RCriner
2022-00013911,0 Block BOYD ST,02/23/2022 07:13:00 PM,2,2022,Disturbance,Not Used,No Violations,0,MLabutti
2022-00013849,0 Block SEEKONK ST,02/23/2022 03:49:00 PM,2,2022,Stolen Vehicle\Recovered,Not Used,No violations,0,LPelaez
2022-00011101,400 Block DOUGLAS AVE,02/13/2022 01:46:00 AM,2,2022,Larceny - Theft,Not Used,"Under Investigation, Offense Pending",0,JManown
2022-00010910,400 Block DOUGLAS AVE,02/12/2022 02:57:00 PM,2,2022,"Fraud, Credit Card",11-49-4,FRAUDULENT USE OF CREDIT CARDS,1,Central Station
2022-00008662,400 Block DOUGLAS AVE,02/04/2022 01:43:00 AM,2,2022,Trespass,Not Used,No Violations,0,LPrete
2021-00098789,400 Block DOUGLAS AVE,12/11/2021 05:42:00 PM,12,2021,Tresspassing,11-44-28,TRESPASS UPON PREMISES/PRIVATE REC. FACILITIES,1,ALara
2022-00043597,400 Block DOUGLAS AVE,06/03/2022 03:46:00 PM,6,2022,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,IQuinn
2022-00038098,400 Block DOUGLAS AVE,05/18/2022 02:05:00 AM,5,2022,Robbery,11-39-1,ROBBERY-1ST DEGREE,1,ESoloman
2022-00040660,400 Block DOUGLAS AVE,05/25/2022 06:50:00 PM,5,2022,Disturbance,Not Used,No Violations,0,MRoman
2022-00020441,0 Block MOORE ST,03/19/2022 08:03:00 PM,3,2022,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,DHernandez Martinez
2022-00037667,0 Block ATLANTIC AVE,05/16/2022 04:52:00 PM,5,2022,Fraud,Not Used,"Under Investigation, Offense Pending",0,DForte
2022-00501513,100 Block DEPASQUALE AVE,05/23/2022 12:09:23 PM,5,2022,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,DShields
2022-00501441,0 Block GIFFORD ST,05/11/2022 08:13:52 PM,5,2022,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,DShields
2022-00001344,0 Block PROGRESS AVE,01/06/2022 08:00:00 PM,1,2022,Auto Towed,Not Used,Parking or MV Violation,0,JPirolli
2022-00035082,100 Block DORA ST,05/08/2022 10:12:00 PM,5,2022,RI Statute Violation,11-35-14,REFUSE/RELINQUISH TELEPHONE - W/O DMG,1,ACalle
2022-00035082,100 Block DORA ST,05/08/2022 10:12:00 PM,5,2022,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,ACalle
2022-00025471,100 Block COLFAX ST,04/06/2022 03:57:00 PM,4,2022,Auto Towed,Not Used,Parking or MV Violation,0,WGeorges
2022-00019349,1000 Block EDDY ST,03/16/2022 08:20:00 AM,3,2022,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,PTesseris
2022-00018092,PLAINFIELD ST &  BARROWS ST,03/11/2022 01:33:49 PM,3,2022,Suspicious Person,Not Used,No Violations,0,JRodrigues
2022-00032822,BLACKSTONE BLVD &  HOPE ST,05/01/2022 05:27:00 AM,5,2022,Auto Towed,Not Used,Parking or MV Violation,0,MPatino
2022-00020546,100 Block PEMBROKE AVE,03/20/2022 01:54:00 AM,3,2022,Burglary,11-8-2.2,B&E OF DWELLING WHEN RESIDENT HOME,1,LPrete
2022-00028314,100 Block WASHINGTON ST,04/15/2022 08:35:06 PM,4,2022,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,MSullivan
2022-00010343,100 Block WASHINGTON ST,02/10/2022 03:58:00 PM,2,2022,Bad Checks,19-9-25,FRAUDULENT CHECKS-(OVER $1000),1,JMota
2022-00031830,0 Block SEAMANS ST,04/28/2022 04:18:00 AM,4,2022,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,NAyala
2021-00102599,600 Block BROAD ST,12/25/2021 12:45:00 PM,12,2021,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,MRudolph
2022-00021691,RIVER AVE &  VALLEY ST,03/23/2022 05:59:00 PM,3,2022,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,MMcGloin
2022-00004817,0 Block GOVERNOR ST,01/21/2022 12:59:00 AM,1,2022,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,DAnderson
2022-00500696,200 Block BENEFIT ST,02/23/2022 08:21:43 AM,2,2022,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,DShields
2022-00027213,100 Block WOOD ST,04/12/2022 04:31:00 PM,4,2022,Suspicious Person,Not Used,No Violations,0,JMota
2021-00099004,500 Block PLAINFIELD ST,12/12/2021 10:07:11 AM,12,2021,House Fire,Not Used,No Violations,0,SBouyssou
2022-00021833,0 Block HAMILTON ST,03/24/2022 10:22:00 AM,3,2022,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,MSheridan
2022-00020278,0 Block TABER AVE,03/19/2022 07:17:41 AM,3,2022,Larceny from Building,11-41-1,LARCENY/U $1500 - FROM BLD,1,RKing
